Item,Amount,Amount,Store,Unit Price (USD),Shipping (USD),Tax (USD),Total (USD),Unit Price (CAD),Shipping (CAD),Tax (CAD),Total (CAD),Link
Microcontroller (Seeed XIAO nRF52840 BLE),2,2,RobotShop,$10.37,$5.76,$4.47,$38.80,$14.21,$7.89,$6.12,$53.15,https://ca.robotshop.com/products/seeedstudio-seeed-studio-xiao-nrf52840?variant=42412019351703
"Female Pin Headers (1x7, 2.54mm pitch)",2,2,RobotShop,$2.04,,,,$2.79,,,,https://ca.robotshop.com/products/straight-female-headers-spa?qd=36095e4851d6509a329522a0f0f2cdae
Male Pin Headers,2,2,RobotShop,$1.88,,,,$2.57,,,,https://ca.robotshop.com/products/break-away-headers-straight?qd=7aaf09feff1f1e04f67852366329745e
Kailh Choc V1 Low Profile Switches Silver,6 (packs of 10),6,Lowprokb,$5.11,$8.03,$9.87,$85.78,$7.00,$11.00,$13.52,$117.52,https://lowprokb.ca/products/kailh-choc-low-profile-switches?variant=44375115399332
Kailh Choc Hot Swap Sockets CPG135001S30,6 (packs of 10),6,Lowprokb,$1.82,,,,$2.50,,,,https://lowprokb.ca/products/kalih-choc-hot-swap-sockets?variant=44424775401636
MBK Low Profile PBT Blank Keycaps Ocean,6 (packs of 10),6,Lowprokb,$4.38,,,,$6.00,,,,https://lowprokb.ca/products/mbk-low-profile-pbt-blank-keycaps?variant=50462384783524
10440 Battery 3.7V,1 (pack of 2),1,Amazon,$9.12,$0.00,$3.46,$30.08,$12.49,$0.00,$4.74,$41.21,https://www.amazon.ca/Rechargeable-10440-3-7V-Li-ion-Battery/dp/B07R5LNM2M/ref=sr_1_1?crid=190KCDCSS7HVX&dib=eyJ2IjoiMSJ9.bvloTnF8fu6d2Xh4bP9diOsr0xBse9jg1WI3IgvcKPTzazfqnnzG4Dd_CyUJ12_b5Rg2NAV6RW04TWl-puHgVpLHd1RfxbE7sY8i9-SVcQF7NksvxTSgGqRR1gi3Q_jxlbZE65REIxzwmH-qO1SviLpc-xy-JGgV8F-LijgU43hFmCTw3En4Y1Mtr8f2eKlg7KD5bTuP9JUi7YOBdkyvg0G_P1KCon-rXBY8_E-UwZy5taA_zLcBCe7h60nyp06aebAqNqAlDaCKGyCeh9LXM2_xmhwh3exknsuUVQeW9bw.iPP13nre1mMRSePzSQAMhmonhsVjeX2SO4OLysAC_TU&dib_tag=se&keywords=10440+Rechargeable+Battery%2C&qid=1769501997&s=electronics&sprefix=10440+rechargeable+battery%2C%2Celectronics%2C85&sr=1-1
Single AAA Battery Holder,1 (pack of 12),1,Amazon,$8.02,,,,$10.99,,,,https://www.amazon.ca/LAMPVPATH-Single-Battery-Holder-Leads/dp/B07C2XT5C5/ref=sr_1_4?crid=1MXKS05TLUL1K&dib=eyJ2IjoiMSJ9.qVFMu5iP-iOq__sbNnSv6W2nl_vwzC4oeUDQtZkIxAx1In2V7D_rrkcE_eUteo8_J8rwQVdCdHNXOUrC-taY1iBSSVuJtUJ9sdKq7w6TESf4dL64LGvw6Iz2PxkDKJQs-YNFtMFE5Yc7XVg-o0W4TqH9vSu5VRQ-t1qsPWccHctSGQuamEf5jyM9pWIH01uQd3mucYnc33BKV2JCfnCyrnCyCGZBcxZE_9QcXT394OAPtlb1SaPx9rfUo-fVHOU2T1alLU-OxB-cvAR1LNDOGvf0ZAcNPZJphLXlrRPUTws.9-rioAhrzzth8kfoF_gdy1Wyu-WJ_ST8sKp27hwyLPo&dib_tag=se&keywords=aaa%2Bbattery%2Bholder%2B1%2Bcell&qid=1769501667&s=electronics&sprefix=aaa%2Bbattery%2Bholder%2B1%2Bcell%2Celectronics%2C108&sr=1-4&th=1
Power Switch,1 (packs of 150),1,Amazon,$9.48,,,,$12.99,,,,http://amazon.ca/Gebildet-Position-Miniature-Latching-SS-12F15/dp/B07Z4RW9X6/ref=sr_1_15?crid=3VL4UZSU9THHP&dib=eyJ2IjoiMSJ9.50V-sZpYmD0Jqi-uE9FKQzVjPXNsnHESzCTvYDiaBysnk22VPIhiTy85aW4ueXQjSVTjq4o-bMvoBjnP_4Hp1GQgLJWROQqsX79q3PJ1nwbYn38H8GLoyLKBf6CAULNA1Rr89ykRpihp5NMMfDXcNJkTHe1hXqRtH5HWUvhtSrbL027hOLuUo67AbrYKHK3Ee8gxSUmy5QHzvDlVEWzPBXezuVGU5fRTk1g3HQN33KRdFzpPTARI176rtURXqxKAvmfYgrR0PHYHlPtm3-p1yORs7HUDgRVeS_n1OdYiUwA.gWC8RzU9W5WTTG2rzjKKtwnGhrPBoX-_t3ahP6lKyWA&dib_tag=se&keywords=slide+switch+with+wire&qid=1769503393&sprefix=slide+switch+with+wire%2Caps%2C123&sr=8-15
2-in-1 MX & Choc Switch Opener,1,1,Print League,$0.00,$7.30,$0.00,$7.30,$0.00,$10.00,$0.00,$10.00,
Keyboard Case,1,1,Print League,$0.00,,,,$0.00,,,,
PCB Printing,1 (set of 5),1,JLCPCB,$18.09,$39.68,$0.00,$67.72,$24.78,$54.36,,$92.77,
Cost of Mounting,,,JLCPCB,$17.25,,,,$23.63,,,,
Discount,1,1,JLCPCB,-$7.30,,,,-$10.00,,,,
"Diodes (1N4148, SOD-123 Surface Mount)",52,52,Solder on to the board directly (will reduce the cost of buying directly since the amount is little),0,$0.00,,,,,,,
"Resistor R3 (806k Ω, SMD)",2,2,Solder on to the board directly (will reduce the cost of buying directly since the amount is little),0,,,,,,,,
"Resistor R4 (2M Ω, SMD)",2,2,Solder on to the board directly (will reduce the cost of buying directly since the amount is little),0,,,,,,,,
,,,,,,,$229.67,,,,$314.65,
,,,,,,,,,,,,

,,,"Consider Possible Exchange Rate Difference, Produce Price Change, Request for:
Extras will be returned to HackClub",,,,$235.00,USD,,,,
